region_id,region_type,Metro_Name,State
394893,metro,Muncie,IN
395039,metro,Roseburg,OR
394734,metro,Kankakee,IL
394651,metro,Greenville,NC
394595,metro,Flagstaff,AZ
395221,metro,Wheeling,WV
395217,metro,Weirton,WV
394788,metro,Lewiston,ME
394872,metro,Monroe,LA
394814,metro,Madera,CA
394563,metro,Elizabethtown,KY
394314,metro,Alexandria,LA
395152,metro,Texarkana,TX
394727,metro,Johnstown,PA
394719,metro,Jamestown,NY
394633,metro,Glens Falls,NY
395120,metro,St. Joseph,MO
395213,metro,Watertown,NY
395237,metro,Wooster,OH
394423,metro,Brunswick,GA
394524,metro,Decatur,IL
394630,metro,Gettysburg,PA
394620,metro,Gadsden,AL
395174,metro,Tyler,TX
394539,metro,Dover,DE
394592,metro,Fernley,NV
394889,metro,Mount Vernon,OH
395159,metro,Toccoa,GA
394779,metro,Lawrenceburg,TN
753926,metro,Weatherford,OK
786257,metro,Fairmont,MN
394418,metro,Brookings,OR
395089,metro,Sheboygan,WI
753911,metro,Ozark,AL
845161,metro,Bluffton,IN
394485,metro,Columbia,MO
394627,metro,Garden City,KS
845165,metro,Minden,LA
395241,metro,Yankton,SD
395111,metro,Spencer,IA
