region_id,region_type,region,County Name,State,Metro Area
343,county,"York County;PA;York-Hanover, PA",York County,PA,"York-Hanover, PA"
1395,county,"Solano County;CA;Vallejo, CA",Solano County,CA,"Vallejo, CA"
3229,county,"Santa Barbara County;CA;Santa Maria-Santa Barbara, CA",Santa Barbara County,CA,"Santa Maria-Santa Barbara, CA"
2743,county,"Jefferson Parish;LA;New Orleans-Metairie, LA",Jefferson Parish,LA,"New Orleans-Metairie, LA"
2444,county,"Monterey County;CA;Salinas, CA",Monterey County,CA,"Salinas, CA"
971,county,"Dakota County;MN;Minneapolis-St. Paul-Bloomington, MN-WI",Dakota County,MN,"Minneapolis-St. Paul-Bloomington, MN-WI"
616,county,"Lucas County;OH;Toledo, OH",Lucas County,OH,"Toledo, OH"
2528,county,"Sarasota County;FL;North Port-Sarasota-Bradenton, FL",Sarasota County,FL,"North Port-Sarasota-Bradenton, FL"
385,county,"Berks County;PA;Reading, PA",Berks County,PA,"Reading, PA"
685,county,"Pinal County;AZ;Phoenix-Mesa-Chandler, AZ",Pinal County,AZ,"Phoenix-Mesa-Chandler, AZ"
3166,county,"Hillsborough County;NH;Manchester-Nashua, NH",Hillsborough County,NH,"Manchester-Nashua, NH"
1585,county,"Cameron County;TX;Brownsville-Harlingen, TX",Cameron County,TX,"Brownsville-Harlingen, TX"
