region_id,region_type,county,state,metro_area
3123,county,Saint Clair County,MI,"Detroit-Warren-Dearborn, MI"
1821,county,Johnson County,IN,"Indianapolis-Carmel-Anderson, IN"
1604,county,Catawba County,NC,"Hickory-Lenoir-Morganton, NC"
930,county,Centre County,PA,"State College, PA"
3253,county,Alexandria City,VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3168,county,Indian River County,FL,"Sebastian-Vero Beach, FL"
1176,county,Martin County,FL,"Port St. Lucie, FL"
2569,county,Sullivan County,TN,"Kingsport-Bristol, TN-VA"
2695,county,Fairfield County,OH,"Columbus, OH"
3137,county,Schenectady County,NY,"Albany-Schenectady-Troy, NY"
101,county,Bibb County,GA,"Macon-Bibb County, GA"
1156,county,Madera County,CA,"Madera, CA"
454,county,Comal County,TX,"San Antonio-New Braunfels, TX"
1351,county,Rankin County,MS,"Jackson, MS"
2289,county,Franklin County,PA,"Chambersburg-Waynesboro, PA"
2913,county,Cumberland County,NJ,"Vineland-Bridgeton, NJ"
251,county,Mesa County,CO,"Grand Junction, CO"
2213,county,Columbia County,GA,"Augusta-Richmond County, GA-SC"
1544,county,Berrien County,MI,"Niles, MI"
2556,county,Stafford County,VA,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
1220,county,Monroe County,MI,"Monroe, MI"
3059,county,Washington County,MD,"Hagerstown-Martinsburg, MD-WV"
2527,county,Santa Fe County,NM,"Santa Fe, NM"
2799,county,Merrimack County,NH,"Concord, NH"
2824,county,Penobscot County,ME,"Bangor, ME"
938,county,Citrus County,FL,"Homosassa Springs, FL"
2368,county,Kootenai County,ID,"Coeur d'Alene, ID"
1819,county,Johnson County,IA,"Iowa City, IA"
2173,county,Canadian County,OK,"Oklahoma City, OK"
2054,county,Tolland County,CT,"Hartford-East Hartford-Middletown, CT"
711,county,Scott County,MN,"Minneapolis-St. Paul-Bloomington, MN-WI"
2524,county,Sandoval County,NM,"Albuquerque, NM"
1289,county,Orange County,NC,"Durham-Chapel Hill, NC"
701,county,Rowan County,NC,"Charlotte-Concord-Gastonia, NC-SC"
