region_id,region_type,city,state,state_region,county,value
20182,city,Ringwood,IL,"Chicago-Naperville-Elgin, IL-IN-WI",McHenry County,281946.3654
36450,city,Sleepy Hollow,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Kane County,329269.2305
19813,city,Paddock Lake,WI,"Chicago-Naperville-Elgin, IL-IN-WI",Kenosha County,142993.6195
26846,city,Rosemont,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,269526.5121
12180,city,Kentland,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Newton County,65680.73057
52469,city,Hebron,IL,"Chicago-Naperville-Elgin, IL-IN-WI",McHenry County,183917.6754
53525,city,New Chicago,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,58622.48292
8802,city,Morocco,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Newton County,89827.41298
23701,city,Big Rock,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Kane County,261174.8845
50850,city,Bannockburn,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,1037638.055
33752,city,Round Lake Heights,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Lake County,160275.4245
398993,city,Brighton,WI,"Chicago-Naperville-Elgin, IL-IN-WI",Kenosha County,291155.0483
9566,city,Goodland,IN,"Chicago-Naperville-Elgin, IL-IN-WI",Newton County,52921.30923
17872,city,East Hazel Crest,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,101162.4614
398332,city,Paris,WI,"Chicago-Naperville-Elgin, IL-IN-WI",Kenosha County,246549.0983
138310,city,Fairmont,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Will County,122254.79365
25866,city,Merrionette Park,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,163730.15275
